,Feature,POS,KiC,SiC,PeiC,ZiC,Di_Freq,Sum_Zjc,Di_Uniq,DBDi,SenticNet
22,vehicle,NN,-1,1,-1.0,19,2.7695339603169515e-05,48,0.3958333333333333,1.0962738592921266e-05,-0.07
23,use,VBG,11,141,0.07801418439716312,7464,0.010879895515687223,12957,0.5760592729798565,0.006267464700863582,0.053
24,scroll,NN,-1,1,-1.0,42,6.122127701753261e-05,172,0.2441860465116279,1.4949381597304474e-05,0.05
25,key,NNS,-1,1,-1.0,302,0.0004402101347451154,451,0.6696230598669624,0.000294774857412472,0.767
26,keyboard,NN,-1,1,-1.0,171,0.0002492580564285256,364,0.4697802197802198,0.00011709650453098319,0.936
27,exercise,NN,-1,1,-1.0,78,0.00011369665731827485,98,0.7959183673469388,9.04932578655657e-05,0.024
28,way,NN,-3,7,-0.42857142857142855,1541,0.0022462378067623274,2459,0.6266775111834079,0.001407666718267892,0.067
29,not,RB,-50,138,-0.36231884057971014,16706,0.024351491758449993,30450,0.5486371100164203,0.013360132062944683,
30,get,VB,-7,99,-0.0707070707070707,5872,0.008559317586832179,10920,0.5377289377289377,0.004602592753651882,0.833
31,next,JJ,0,2,0.0,427,0.0006224163163449149,787,0.542566709021601,0.0003377023724006082,-0.93
32,level,NN,-1,1,-1.0,395,0.0005757715338553662,583,0.6775300171526587,0.00039010249720903883,0.842
33,complete,VB,-1,3,-0.3333333333333333,541,0.000788588353963932,662,0.8172205438066465,0.0006444506034659928,0.126
34,move,VB,1,3,0.3333333333333333,431,0.0006282469141561084,808,0.5334158415841584,0.00033511685643723113,0.102
35,watch,VBG,-1,1,-1.0,234,0.00034108997195482455,660,0.35454545454545455,0.00012093189914761961,0.831
36,fall,VBG,-1,3,-0.3333333333333333,100,0.00014576494527983953,311,0.3215434083601286,4.686975732470725e-05,-0.31
37,lava,NN,-1,1,-1.0,2,2.915298905596791e-06,3,0.6666666666666666,1.943532603731194e-06,-0.92
38,rock,NNS,0,2,0.0,66,9.62048638846941e-05,134,0.4925373134328358,4.7384485196938886e-05,0.12
39,cloud,NNS,-1,1,-1.0,12,1.7491793433580745e-05,22,0.5454545454545454,9.540978236498587e-06,-0.76
40,monitor,VB,-1,1,-1.0,74,0.00010786605950708126,292,0.2534246575342466,2.733591919015073e-05,0.054
41,fuel,NN,-1,1,-1.0,8,1.1661195622387164e-05,13,0.6153846153846154,7.176120383007486e-06,0.882
42,gauge,NN,-1,1,-1.0,4,5.830597811193582e-06,20,0.2,1.1661195622387165e-06,0.726
43,arrow,NN,-1,1,-1.0,36,5.2475380300742234e-05,49,0.7346938775510204,3.8553340629116745e-05,0.054
44,indicator,NNS,-1,1,-1.0,4,5.830597811193582e-06,74,0.05405405405405406,3.1516744925370717e-07,0.107
45,help,VBP,5,7,0.7142857142857143,1550,0.002259356651837513,1969,0.787201625190452,0.0017785692282113485,0.823
46,determine,VB,-1,1,-1.0,49,7.142482318712137e-05,77,0.6363636363636364,4.545216020998633e-05,0.105
47,object,NNS,-1,1,-1.0,108,0.00015742614090222671,134,0.8059701492537313,0.00012688077027940662,
48,arena,NN,-1,1,-1.0,6,8.745896716790372e-06,7,0.8571428571428571,7.496482900106033e-06,0.051
49,scope,NN,-1,1,-1.0,14,2.0407092339177537e-05,14,1.0,2.0407092339177537e-05,0.125
50,show,VBZ,-1,1,-1.0,698,0.00101743931805328,1283,0.544037412314887,0.0005535250537811297,0.83
51,animal,NNS,-1,1,-1.0,38,5.539067920633903e-05,43,0.8837209302325582,4.894990255443914e-05,0.101
52,hover,VBG,-1,1,-1.0,3,4.372948358395186e-06,8,0.375,1.6398556343981948e-06,-0.32
53,top,NN,0,2,0.0,287,0.00041834539295313946,653,0.43950995405819293,0.000183866964437291,0.085
54,them.I,NNP,-1,1,-1.0,11,1.603414398078235e-05,25,0.44,7.055023351544234e-06,
55,try,VBD,-35,55,-0.6363636363636364,2787,0.004062469024949128,4574,0.6093135111499781,0.002475317265529781,0.034
56,perform,VB,0,2,0.0,146,0.00021281682010856572,294,0.4965986394557823,0.0001056845433192197,0.895
57,frustrate,VBN,-1,1,-1.0,34,4.9560081395145445e-05,50,0.68,3.3700855348698905e-05,-0.86
58,just,RB,-3,125,-0.024,3220,0.0046936312380108335,6395,0.5035183737294762,0.002363329567849083,0.115
59,hard,JJ,1,3,0.3333333333333333,956,0.001393512876875266,1577,0.6062143310082435,0.0008447674764063121,-0.81
60,expect,VB,-6,10,-0.6,464,0.0006763493460984555,949,0.48893572181243417,0.0003306913557320162,-0.80
61,even,RB,-2,16,-0.125,2344,0.003416730317359439,4183,0.5603633755677744,0.001914610534040288,
62,let,VB,-7,23,-0.30434782608695654,643,0.0009372685981493683,1014,0.6341222879684418,0.0005943429078994515,0.108
63,alone,RB,-1,1,-1.0,172,0.00025071570588132403,240,0.7166666666666667,0.00017967958921494888,-0.85
64,old.There,NNP,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,
65,mostly,RB,-1,1,-1.0,132,0.0001924097277693882,218,0.6055045871559633,0.0001165049727777947,-0.94
66,left,JJ,-1,1,-1.0,52,7.579777154551656e-05,184,0.2826086956521739,2.1421109349819893e-05,0.67
67,right,JJ,0,2,0.0,764,0.001113644181937974,1569,0.48693435309114086,0.0005422716093056801,0.926
68,keys.i,NN,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,
69,do,VBP,-116,284,-0.4084507042253521,11692,0.01704283740211884,20318,0.5754503396003544,0.009807306570802908,0.846
70,know,VB,8,26,0.3076923076923077,1564,0.0022797637441766905,2543,0.6150216279984271,0.0014021040093953377,0.103
71,good,JJ,10,28,0.35714285714285715,2089,0.003045029706895848,4452,0.4692273135669362,0.001428811109098254,0.849
72,part,NNS,-1,1,-1.0,497,0.0007244517780408026,894,0.5559284116331096,0.00040274332627100544,0.873
73,easy,JJ,4,6,0.6666666666666666,1333,0.0019430467205802612,2582,0.516266460108443,0.0010031298522592904,0.806
74,someone,NN,-3,9,-0.3333333333333333,305,0.0004445830831035106,504,0.6051587301587301,0.00026904333402097365,
75,older,JJR,1,3,0.3333333333333333,358,0.0005218385041018255,554,0.6462093862815884,0.0003372169394737428,0.834
76,difficult,JJ,-1,1,-1.0,355,0.0005174655557434304,528,0.6723484848484849,0.0003479171823653746,-0.87
77,younger,JJR,-1,1,-1.0,50,7.288247263991977e-05,54,0.9259259259259259,6.748377096288867e-05,0.036
78,son,NN,16,36,0.4444444444444444,350,0.0005101773084794384,475,0.7368421052631579,0.0003759201220374809,0.053
79,really,RB,11,49,0.22448979591836735,1665,0.0024269863389093285,2891,0.5759252853683846,0.001397762799821526,0.778
80,Rescue,NNP,-1,1,-1.0,20,2.915298905596791e-05,21,0.9523809523809523,2.7764751481874196e-05,
81,Heroes,NNPS,-1,1,-1.0,13,1.894944288637914e-05,13,1.0,1.894944288637914e-05,
82,sound,VBD,-3,3,-1.0,396,0.0005772291833081646,1962,0.2018348623853211,0.0001165049727777947,0.073
83,adventure,NNS,-1,1,-1.0,79,0.00011515430677107324,83,0.9518072289156626,0.00010960470162547934,0.755
84,him.What,NNP,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,
85,description,NN,-4,4,-1.0,98,0.00014284964637424275,196,0.5,7.142482318712137e-05,0.167
86,tell,VB,-1,3,-0.3333333333333333,977,0.0014241235153840323,1681,0.5812016656751934,0.0008277029592684115,0.076
87,pick,VB,5,7,0.7142857142857143,256,0.00037315825991638925,492,0.5203252032520326,0.00019416364743617004,0.119
88,activity,NNS,-1,1,-1.0,146,0.00021281682010856572,160,0.9125,0.0001941953483490662,0.09
89,want,VBP,-8,48,-0.16666666666666666,2121,0.0030916744893853968,3532,0.6005096262740657,0.0018565802921818874,
90,play,VB,6,18,0.3333333333333333,1422,0.0020727775218793184,2331,0.61003861003861,0.0012644743183665341,0.688
91,go,VB,0,18,0.0,2924,0.004262166999982508,5404,0.5410806809770541,0.002306176222788463,0.772
92,make,VB,-14,28,-0.5,3072,0.004477899118996671,5231,0.5872682087554961,0.002629727794600989,0.082
93,sense,NN,-1,1,-1.0,93,0.00013556139911025076,166,0.5602409638554217,7.594704889911639e-05,0.094
94,age,NN,-2,4,-0.5,203,0.0002959028389180743,244,0.8319672131147541,0.0002461814602474143,0.067
95,group,NN,-1,1,-1.0,109,0.0001588837903550251,129,0.8449612403100775,0.00013425064456354833,0.093
96,certain,JJ,-1,1,-1.0,163,0.00023759686080613847,240,0.6791666666666667,0.00016136786796416906,0.884
97,interest,NN,-1,1,-1.0,129,0.000188036779410993,154,0.8376623376623377,0.00015751132820790973,0.33
98,frustrated,JJ,-1,1,-1.0,90,0.0001311884507518556,111,0.8108108108108109,0.00010636901412312616,-0.87
99,enjoy,VB,3,7,0.42857142857142855,388,0.0005655679876857775,543,0.714548802946593,0.0004041259285857857,0.868
100,graphic,NNS,-3,7,-0.42857142857142855,515,0.0007506894681911737,596,0.8640939597315436,0.0006486662350980778,0.726
101,different,JJ,-1,1,-1.0,763,0.0011121865324851758,1378,0.5537010159651669,0.0006158188129798179,0.037
102,rescue,NNS,-1,1,-1.0,23,3.3525937414363095e-05,27,0.8518518518518519,2.855913187149449e-05,0.912
103,very,RB,20,62,0.3225806451612903,3232,0.004711123031444414,6503,0.4970013839766262,0.0023414346667120322,-0.78
104,basic,JJ,-1,3,-0.3333333333333333,344,0.0005014314117626481,468,0.7350427350427351,0.0003685735163383567,0.148
105,time,NN,0,8,0.0,3531,0.005146960217831134,6150,0.5741463414634146,0.002955108378725485,0.861
106,sequence,NN,-1,1,-1.0,31,4.5187133036750256e-05,38,0.8157894736842105,3.6863187477348894e-05,0.063
107,exactly,RB,0,2,0.0,179,0.0002609192520509128,397,0.4508816120906801,0.00011764369299021004,0.906
108,same,JJ,-2,2,-1.0,1018,0.0014838871429487665,2188,0.46526508226691043,0.0006904008736388685,0.16
109,stuff,NN,-1,1,-1.0,272,0.00039648065116116356,428,0.6355140186915887,0.000251969011952889,0.074
110,so,RB,-4,38,-0.10526315789473684,3898,0.005681917567008145,7301,0.5338994658265991,0.0030335727538964184,
111,think,VBP,7,63,0.1111111111111111,1761,0.0025669206863779743,3095,0.5689822294022617,0.0014605322548341237,0.789
112,boring,JJ,-1,1,-1.0,95,0.00013847669801584758,100,0.95,0.00013155286311505518,-0.06
113,fast,RB,1,3,0.3333333333333333,315,0.00045915957763149456,772,0.40803108808290156,0.00018735138206466424,0.145
114,only,JJ,-19,33,-0.5757575757575758,2580,0.0037607355882198603,5127,0.5032182562902282,0.0018924708050726037,-0.76
115,reason,NN,-5,5,-1.0,451,0.0006573999032120763,855,0.5274853801169591,0.0003467688378346742,0.058
116,give,VBD,-17,35,-0.4857142857142857,1672,0.002437189885078917,2796,0.597997138769671,0.0014574325779155757,0.805
117,star,NNS,-7,7,-1.0,545,0.0007944189517751255,988,0.5516194331983806,0.0004382169319002464,0.831
118,instead,RB,-2,4,-0.5,452,0.0006588575526648747,785,0.575796178343949,0.00037936766089748195,
119,-lrb-,NN,-6,10,-0.6,3048,0.004442915532129509,5770,0.5282495667244368,0.002346968204840684,
120,-rrb-,JJ,-1,1,-1.0,3538,0.005157163764000723,6776,0.5221369539551358,0.0026927457787831407,
121,look,VBG,-2,20,-0.1,1634,0.002381799205872578,3159,0.5172522950300729,0.001231991105538396,0.061
122,something,NN,-1,1,-1.0,737,0.0010742876467124175,1350,0.5459259259259259,0.0005864814782422605,
123,easily,RB,0,2,0.0,332,0.00048393961832906727,659,0.503793626707132,0.00024380569542526605,0.943
124,frustate,VBN,-1,1,-1.0,1,1.4576494527983955e-06,2,0.5,7.288247263991978e-07,
125,almost,RB,-4,10,-0.4,406,0.0005918056778361486,774,0.524547803617571,0.00031043036847735957,
126,involve,VBZ,-1,1,-1.0,100,0.00014576494527983953,121,0.8264462809917356,0.00012046689692548722,0.07
127,mouse,NN,-1,1,-1.0,193,0.0002813263443900903,513,0.3762183235867446,0.00010584012566722695,-0.82
128,trouble,NN,-1,1,-1.0,273,0.00039793830061396197,499,0.5470941883767535,0.00021770973159842007,-0.15
129,clearly,RB,0,2,0.0,100,0.00014576494527983953,196,0.5102040816326531,7.436987004073446e-05,0.832
130,say,VBZ,0,36,0.0,1864,0.002717058580016209,3384,0.5508274231678487,0.0014966303762264225,0.614
131,line,NN,0,2,0.0,526,0.000766723612171956,1072,0.4906716417910448,0.0003762095335843739,0.778
132,work,VB,3,43,0.06976744186046512,4802,0.006999632672337895,10489,0.45781294689674895,0.0032045224609177775,-0.66
133,Mac,NNP,14,16,0.875,817,0.001190899602936289,1059,0.7714825306893296,0.000918758239470206,
134,OS,NNP,0,4,0.0,350,0.0005101773084794384,397,0.8816120906801007,0.0004497784835461044,
135,system,NN,0,6,0.0,1838,0.002679159694243451,2509,0.7325627740135512,0.00196265265764028,0.155
136,disk,NN,-2,4,-0.5,558,0.0008133683946615046,759,0.7351778656126482,0.0005979704403440311,-0.84
137,come,VBZ,-3,11,-0.2727272727272727,1379,0.0020100985954089874,2857,0.4826741337066853,0.000970222598204058,0.084
138,Windows,NNP,-18,38,-0.47368421052631576,2087,0.0030421144079902512,2578,0.8095422808378588,0.0024627202364141407,
139,order,VB,-13,51,-0.2549019607843137,607,0.000884793217848626,1409,0.43080198722498225,0.00038117067653237473,0.152
140,excited,JJ,-1,1,-1.0,74,0.00010786605950708126,143,0.5174825174825175,5.581880002464345e-05,-0.79
141,attempt,NNS,-2,2,-1.0,261,0.0003804465071803812,385,0.6779220779220779,0.0002579130866859208,0.898
142,touch,VBN,-1,1,-1.0,96,0.00013993434746864596,221,0.4343891402714932,6.078596089135752e-05,0.812
143,power,NN,-1,1,-1.0,137,0.00019969797503338016,1293,0.10595514307811292,2.1159027517071218e-05,0.913
144,up,NN,-1,1,-1.0,506,0.0007375706231159881,909,0.5566556655665567,0.00041057286611297024,0.889
145,segment,NNS,-1,1,-1.0,15,2.186474179197593e-05,18,0.8333333333333334,1.8220618159979942e-05,0.728
146,down,RB,-1,1,-1.0,137,0.00019969797503338016,273,0.5018315018315018,0.00010021473472371092,-0.31
147,much,JJ,3,7,0.42857142857142855,1787,0.0026048195721507326,3229,0.553422112109012,0.0014415647492825516,0.091
148,fun,NN,-2,2,-1.0,638,0.0009299803508853763,707,0.9024045261669024,0.0008392184778852476,0.858
149,disapointed,JJ,-1,1,-1.0,13,1.894944288637914e-05,21,0.6190476190476191,1.1730607501091849e-05,
150,wish,NN,-25,35,-0.7142857142857143,345,0.0005028890612154464,600,0.575,0.00028916121019888165,0.812
151,return,VB,-2,2,-1.0,604,0.0008804202694902308,1591,0.3796354494028913,0.0003342387446713384,0.107
152,thing,NNS,-8,10,-0.8,1586,0.002311832032138255,2964,0.5350877192982456,0.0012370329294774873,
153,never,RB,-1,17,-0.058823529411764705,1133,0.001651516830020582,2155,0.525754060324826,0.0008682916790781064,
154,hold,VBZ,-1,1,-1.0,194,0.00028278399384288873,706,0.2747875354107649,7.770551672170031e-05,0.786
155,attention,NN,-1,1,-1.0,82,0.00011952725512946842,124,0.6612903225806451,7.904221710174524e-05,0.33
156,long,RB,2,8,0.25,653,0.0009518450926773522,1383,0.47216196673897326,0.0004494250509893789,0.056
157,enough,RB,-1,1,-1.0,504,0.0007346553242103912,1134,0.4444444444444444,0.00032651347742684053,0.867
158,choice,NN,0,2,0.0,264,0.0003848194555387764,401,0.6583541147132169,0.0002533474719756533,0.188
159,boy,NNS,1,3,0.3333333333333333,61,8.891661662070212e-05,80,0.7625,6.779892017328536e-05,0.598
160,love,NN,65,83,0.7831325301204819,1156,0.0016850427674349451,1879,0.6152208621607238,0.0010366734641590188,0.83
161,one,NN,1,5,0.2,769,0.0011209324292019661,2065,0.3723970944309927,0.00041743197968828667,-0.76
162,dog,NN,-1,1,-1.0,79,0.00011515430677107324,122,0.6475409836065574,7.456713307307202e-05,0.875
163,quicktime,RB,-1,1,-1.0,28,4.081418467835507e-05,29,0.9655172413793104,3.940679899979111e-05,
164,better,JJR,-1,7,-0.14285714285714285,1298,0.0018920289897323172,2488,0.5217041800643086,0.0009870794327462007,0.928
165,version,NN,-2,24,-0.08333333333333333,3244,0.004728614824877995,3557,0.9120044981726174,0.0043125179904144545,0.92
166,ask,VB,-1,3,-0.3333333333333333,529,0.0007710965605303512,808,0.6547029702970297,0.0005048392085650443,0.845
167,install,VB,-54,114,-0.47368421052631576,2504,0.003649954229807182,3372,0.7425860023724793,0.002710404920355037,-0.83
168,available,JJ,-1,1,-1.0,445,0.000648654006495286,696,0.639367816091954,0.0004147284955321872,0.039
169,cd,NN,-2,22,-0.09090909090909091,1187,0.0017302299004716953,1787,0.6642417459429211,0.0011492909299719654,0.734
170,click,VB,0,2,0.0,528,0.0007696389110775528,730,0.7232876712328767,0.0005566703356834903,0.067
171,begrudgingly,RB,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,-0.85
172,third,JJ,-2,2,-1.0,122,0.00017783323324140423,287,0.4250871080139373,7.55946148273565e-05,0.067
173,then,RB,-1,5,-0.2,2020,0.002944451894652759,3573,0.5653512454520011,0.0016646495458154415,
174,please,VB,-1,1,-1.0,14,2.0407092339177537e-05,24,0.5833333333333334,1.1904137197853564e-05,0.922
175,disc,NN,1,5,0.2,364,0.0005305844008186159,539,0.6753246753246753,0.0003583167382151692,0.943
176,keep,VBD,-4,8,-0.5,916,0.0013352068987633303,1651,0.5548152634766808,0.0007407931673332589,0.102
177,uninstall,VBD,-2,2,-1.0,546,0.0007958766012279239,577,0.9462738301559792,0.0007531171997754705,
178,reinstall,VBD,-1,1,-1.0,358,0.0005218385041018255,413,0.8668280871670703,0.00045234427232071077,-0.81
179,Barbie,NNP,0,4,0.0,75,0.00010932370895987965,75,1.0,0.00010932370895987965,
180,Rapunzel,NNP,-1,1,-1.0,6,8.745896716790372e-06,6,1.0,8.745896716790372e-06,
181,frustrating,JJ,-2,2,-1.0,171,0.0002492580564285256,256,0.66796875,0.0001664965923799917,-0.35
182,absolutely,RB,6,18,0.3333333333333333,212,0.00030902168399325985,376,0.5638297872340425,0.00017423563033662522,0.883
183,installation,NN,-7,17,-0.4117647058823529,590,0.0008600131771510533,817,0.7221542227662179,0.0006210621475142246,0.891
184,process,NN,-1,1,-1.0,399,0.0005816021316665598,556,0.7176258992805755,0.00041737275276071466,0.09
185,repeatedly,RB,-1,1,-1.0,47,6.850952428152458e-05,71,0.6619718309859155,4.535137522861487e-05,
186,operate,VBG,-1,1,-1.0,159,0.00023176626299494486,265,0.6,0.0001390597577969669,0.953
187,limitation,NNS,-1,1,-1.0,63,9.18319155262989e-05,86,0.7325581395348837,6.727221718787012e-05,-0.93
188,brand,NN,0,2,0.0,119,0.00017346028488300907,697,0.17073170731707318,2.9615170589782036e-05,0.12
189,new,JJ,3,27,0.1111111111111111,2409,0.0035114775317913348,3848,0.626039501039501,0.0021983236419140656,0.081
190,computer,NN,-3,13,-0.23076923076923078,3177,0.004630952311540502,4729,0.6718122224571791,0.003111130364509236,0.07
191,merely,RB,-1,1,-1.0,25,3.6441236319959883e-05,36,0.6944444444444444,2.5306414111083252e-05,0.208
192,week,NNS,-1,1,-1.0,500,0.0007288247263991977,1350,0.37037037037037035,0.0002699350838515547,-0.79
193,state,NN,-1,1,-1.0,477,0.0006952987889848346,666,0.7162162162162162,0.0004979842677864356,0.745
194,art,NN,-1,1,-1.0,154,0.0002244780157309529,170,0.9058823529411765,0.00020335067307392205,0.105
195,contraption,NNS,-1,1,-1.0,19,2.7695339603169515e-05,26,0.7307692307692307,2.02389020177008e-05,-0.06
196,daughter,NN,18,58,0.3103448275862069,397,0.000578686832760963,520,0.7634615384615384,0.0004418051396271198,0.969
197,movie,NN,1,7,0.14285714285714285,482,0.0007025870362488266,850,0.5670588235294117,0.00039840817820227574,0.837
198,take,VBD,-3,25,-0.12,1887,0.0027505845174305723,3678,0.5130505709624796,0.0014111889571483116,0.102
199,hour,NNS,-3,3,-1.0,943,0.0013745634339888868,1731,0.5447718082033507,0.0007488234074243329,0.093
200,challenge,NN,-1,1,-1.0,95,0.00013847669801584758,108,0.8796296296296297,0.00012180820658801408,0.038
201,little,JJ,9,13,0.6923076923076923,945,0.0013774787328944837,2034,0.4646017699115044,0.0006399790573182335,-0.84
202,interaction,NN,-1,1,-1.0,27,3.935653522555668e-05,30,0.9,3.542088170300101e-05,0.628
203,essentially,RB,-1,1,-1.0,49,7.142482318712137e-05,74,0.6621621621621622,4.729481535363442e-05,0.818
204,screen,NN,-2,2,-1.0,625,0.0009110309079989971,1362,0.4588839941262849,0.00041805750183507577,0.025
205,scene,NNS,-2,2,-1.0,132,0.0001924097277693882,157,0.8407643312101911,0.0001617712360863646,-0.71
206,program,VBN,-27,145,-0.18620689655172415,5725,0.008345043117270814,6106,0.9376023583360629,0.007824332107169246,0.358
207,nothing,NN,-4,8,-0.5,611,0.0008906238156598196,1086,0.5626151012891344,0.0005010784082579648,-0.72
208,figure,VB,-1,1,-1.0,510,0.0007434012209271817,762,0.6692913385826772,0.0004975519982583499,0.807
209,save,VB,-11,13,-0.8461538461538461,708,0.001032015812581264,1116,0.6344086021505376,0.0006547197090569309,0.112
210,money,NN,-1,3,-0.3333333333333333,1420,0.0020698622229737215,2353,0.6034849128771781,0.0012491306232990584,0.866
211,currently,RB,-3,3,-1.0,92,0.00013410374965745238,159,0.5786163522012578,7.759462244330578e-05,0.843
212,sob,VBG,-1,1,-1.0,4,5.830597811193582e-06,4,1.0,5.830597811193582e-06,-0.96
213,bedroom,NN,-1,1,-1.0,11,1.603414398078235e-05,100,0.11,1.7637558378860585e-06,0.072
214,result,NN,-2,2,-1.0,300,0.0004372948358395186,526,0.5703422053231939,0.0002494077010491551,0.033
215,rotten,JJ,-1,1,-1.0,3,4.372948358395186e-06,4,0.75,3.2797112687963896e-06,-0.85
216,game.she,NN,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,
217,spend,VBD,-8,18,-0.4444444444444444,748,0.0010903217906931997,1202,0.6222961730449251,0.0006785030777358681,0.095
218,painting,NN,-1,1,-1.0,36,5.2475380300742234e-05,38,0.9473684210526315,4.971351817965053e-05,0.101
219,pretty,JJ,2,6,0.3333333333333333,480,0.0006996717373432298,1018,0.4715127701375246,0.00032990415906164076,0.878
220,picture,NNS,-1,1,-1.0,514,0.0007492318187383752,1647,0.31208257437765635,0.00023382219479752572,0.084
221,color,VBG,-1,1,-1.0,255,0.00037170061046359085,595,0.42857142857142855,0.00015930026162725322,0.066
222,flower,NNS,-1,1,-1.0,26,3.789888577275828e-05,29,0.896551724137931,3.397831138247294e-05,0.041
223,halfway,RB,-1,1,-1.0,16,2.332239124477433e-05,27,0.5925925925925926,1.3820676293199602e-05,-0.74
224,hang,VBD,-1,1,-1.0,190,0.00027695339603169515,282,0.6737588652482269,0.00018659980583695773,0.076
225,leave,VB,0,2,0.0,374,0.0005451608953465999,728,0.5137362637362637,0.00028006892151047845,0.094
226,room,NN,-1,1,-1.0,181,0.0002638345509565096,638,0.2836990595611285,7.48496139860944e-05,0.078
227,anywhere,RB,-1,1,-1.0,75,0.00010932370895987965,170,0.4411764705882353,4.823104807053514e-05,
228,else,RB,0,2,0.0,377,0.000549533843704995,683,0.5519765739385066,0.0003033298083115419,0.856
229,now,RB,-2,8,-0.25,1901,0.00277099160976975,3582,0.5307091010608599,0.001470590466268089,
230,exit,VBP,-1,1,-1.0,75,0.00010932370895987965,93,0.8064516129032258,8.816428141925778e-05,0.094
231,start,VB,13,29,0.4482758620689655,1185,0.0017273146015660986,1954,0.6064483111566018,0.001047527022955899,0.08
232,back,RB,-3,3,-1.0,1471,0.00214420234506644,2944,0.49966032608695654,0.0010713728429323141,0.823
233,freeze,VBN,-3,3,-1.0,210,0.00030610638508766304,431,0.4872389791183295,0.00014914696257171516,-0.7
234,spot,NN,-1,1,-1.0,36,5.2475380300742234e-05,103,0.34951456310679613,1.8340909619676897e-05,0.085
235,disembodied,JJ,-1,1,-1.0,1,1.4576494527983955e-06,1,1.0,1.4576494527983955e-06,-0.70
236,voice,NN,-1,1,-1.0,161,0.00023468156190054165,236,0.6822033898305084,0.00016010055705926782,0.043
237,urge,VBZ,-1,1,-1.0,15,2.186474179197593e-05,26,0.5769230769230769,1.2614274110755344e-05,0.357
238,explore,VB,-1,1,-1.0,76,0.00011078135841267806,82,0.926829268292683,0.00010267540535809186,0.062
239,somewhere,RB,-1,1,-1.0,46,6.705187482872619e-05,94,0.48936170212765956,3.281261959703622e-05,
240,castle,NN,-1,1,-1.0,32,4.664478248954866e-05,32,1.0,4.664478248954866e-05,0.09
241,standard,JJ,0,2,0.0,188,0.00027403809712609834,386,0.48704663212435234,0.00013346933227903235,0.117
242,troubleshooting,NN,-1,1,-1.0,18,2.6237690150371117e-05,39,0.46153846153846156,1.2109703146325132e-05,
243,rebooting,NN,-1,1,-1.0,3,4.372948358395186e-06,7,0.42857142857142855,1.8741207250265082e-06,
244,Vivendi,NNP,-1,1,-1.0,5,7.288247263991977e-06,5,1.0,7.288247263991977e-06,
